,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
251,2021-04-15,2330,36394255,22332532476,612.0,619.0,607.0,619.0,7.0,40541
252,2021-04-16,2330,49952191,30335377876,610.0,611.0,603.0,610.0,-9.0,67601
253,2021-04-19,2330,25234976,15224292755,605.0,607.0,601.0,603.0,-7.0,43094
254,2021-04-20,2330,36655069,21969721089,598.0,602.0,595.0,602.0,-1.0,54247
255,2021-04-21,2330,41893725,24933016553,599.0,599.0,592.0,592.0,-10.0,92840
256,2021-04-22,2330,38094824,22626436436,596.0,598.0,591.0,591.0,-1.0,64897
257,2021-04-23,2330,29004756,17336162729,592.0,602.0,590.0,602.0,11.0,29147
258,2021-04-26,2330,32426908,19673836650,605.0,610.0,603.0,610.0,8.0,35286
259,2021-04-27,2330,26761401,16274064043,608.0,611.0,605.0,610.0,0.0,25203
260,2021-04-28,2330,24601487,14833592900,606.0,608.0,601.0,602.0,-8.0,32198
261,2021-04-29,2330,35756460,21579514979,609.0,609.0,600.0,600.0,-2.0,30756
262,2021-05-03,2330,46801189,27676378065,595.0,597.0,588.0,588.0,-12.0,104468
263,2021-05-04,2330,45507479,26756714081,588.0,594.0,582.0,591.0,3.0,69833
264,2021-05-05,2330,31786592,18603594408,594.0,594.0,585.0,585.0,-6.0,52496
265,2021-05-06,2330,33165446,19405281385,590.0,590.0,580.0,587.0,2.0,69578
266,2021-05-07,2330,28719597,17131817777,594.0,600.0,589.0,599.0,12.0,30063
267,2021-05-10,2330,21365583,12626811276,596.0,597.0,588.0,589.0,-10.0,43154
268,2021-05-11,2330,66035839,37939364597,579.0,580.0,570.0,571.0,-18.0,184838
269,2021-05-12,2330,138328672,76325765887,567.0,571.0,518.0,560.0,-11.0,223058
270,2021-05-13,2330,71519430,39495488180,547.0,563.0,541.0,547.0,-13.0,105026
271,2021-05-14,2330,38625148,21474513930,556.0,562.0,552.0,557.0,10.0,52919
272,2021-05-17,2330,58446847,32066868553,544.0,558.0,541.0,549.0,-8.0,76808
273,2021-05-18,2330,44584258,25226153189,563.0,573.0,555.0,572.0,23.0,52152
274,2021-05-19,2330,29610174,16832735286,571.0,572.0,565.0,567.0,-5.0,34443
275,2021-05-20,2330,36605692,20670883290,567.0,571.0,560.0,567.0,0.0,32301
276,2021-05-21,2330,28009899,16016851343,572.0,577.0,568.0,573.0,6.0,27050
277,2021-05-24,2330,15981036,9090836697,570.0,572.0,566.0,568.0,-5.0,20189
278,2021-05-25,2330,35445350,20525932956,576.0,584.0,573.0,583.0,15.0,39032
279,2021-05-26,2330,19555305,11433686898,587.0,588.0,581.0,585.0,2.0,21034
280,2021-05-27,2330,70061002,40643804852,580.0,582.0,573.0,582.0,-3.0,37545
281,2021-05-28,2330,30720737,18082265480,587.0,592.0,582.0,590.0,8.0,31581
282,2021-05-31,2330,31557426,18751716595,595.0,597.0,590.0,597.0,7.0,29798
283,2021-06-01,2330,18405285,10985893229,598.0,599.0,595.0,598.0,1.0,20318
284,2021-06-02,2330,22416789,13362065937,600.0,600.0,593.0,595.0,-3.0,25170
285,2021-06-03,2330,31703679,18939839664,600.0,600.0,596.0,596.0,1.0,20749
286,2021-06-04,2330,16072580,9521252157,591.0,595.0,590.0,595.0,-1.0,19112
287,2021-06-07,2330,17729179,10471176330,594.0,595.0,583.0,592.0,-3.0,25364
288,2021-06-08,2330,14083552,8312653665,590.0,595.0,588.0,589.0,-3.0,14051
289,2021-06-09,2330,21575159,12618113390,586.0,588.0,583.0,586.0,-3.0,36405
290,2021-06-10,2330,29741770,17696413894,591.0,599.0,587.0,599.0,13.0,30487
291,2021-06-11,2330,24940705,15011140567,602.0,603.0,600.0,602.0,3.0,25271
292,2021-06-15,2330,30245897,18415370774,607.0,609.0,606.0,609.0,7.0,33515
293,2021-06-16,2330,28624508,17401326587,608.0,608.0,605.0,605.0,-4.0,25816
294,2021-06-17,2330,26477032,15924656516,601.0,606.0,598.0,606.0,0.0,21061
295,2021-06-18,2330,42036170,25373026235,608.0,608.0,601.0,603.0,-3.0,16899
296,2021-06-21,2330,47339695,27749202661,590.0,594.0,583.0,583.0,-20.0,109204
297,2021-06-22,2330,30578091,17786329582,585.0,588.0,578.0,578.0,-5.0,56057
298,2021-06-23,2330,36386023,21500052844,583.0,598.0,581.0,595.0,17.0,34454
299,2021-06-24,2330,19322765,11435647488,598.0,598.0,588.0,590.0,-5.0,18494
300,2021-06-25,2330,19140086,11355715486,598.0,598.0,589.0,591.0,1.0,16850
301,2021-06-28,2330,15401977,9056869217,590.0,590.0,586.0,590.0,-1.0,20825
302,2021-06-29,2330,30837548,18350027611,598.0,598.0,591.0,595.0,5.0,24078
303,2021-06-30,2330,34021380,20301841661,599.0,599.0,595.0,595.0,0.0,20097
304,2021-07-01,2330,18719706,11116195742,596.0,597.0,591.0,593.0,-2.0,20565
